,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,MW,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,DC,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
4631,H,0.0,0.0,17.0,12.0,0.0,5.0,12.0,14.0,7.0,6.0,2.0,1.0,0.0,0.0,2.29,4.0,6.5,2.2,4.0,6.0,2.2,4.0,6.2,2.3,3.8,6.5,2.3,4.0,6.5,19.0,L,L,L,D,L,L,W,D,L,D,-2,0,0,0,0,0,0,0,0,-0.05263157894736842,-0.21052631578947367,0.2631578947368421,0.0,3.0
4632,D,1.0,2.0,8.0,13.0,3.0,6.0,12.0,13.0,3.0,4.0,3.0,2.0,0.0,0.0,5.5,3.6,4.5,5.5,3.6,4.25,5.0,3.5,4.3,5.5,3.5,4.33,5.5,3.7,4.5,19.0,L,W,L,W,W,D,L,D,L,D,-1,0,0,0,0,0,0,0,0,-1.105263157894737,-0.5789473684210527,-0.2631578947368421,-0.3157894736842105,1.0
4633,A,1.0,0.0,14.0,10.0,7.0,2.0,13.0,9.0,9.0,5.0,1.0,1.0,0.0,0.0,3.5,6.5,14.0,3.4,5.75,12.0,3.4,6.0,11.0,3.3,6.0,13.0,3.4,6.5,15.0,19.0,W,L,D,L,W,L,L,L,L,D,2,0,0,0,0,0,0,0,0,0.05263157894736842,-0.47368421052631576,-0.05263157894736842,0.3157894736842105,-7.0
4634,D,0.0,1.0,5.0,19.0,1.0,6.0,7.0,9.0,6.0,6.0,1.0,1.0,0.0,0.0,23.0,3.39,2.1,23.0,3.3,2.1,20.0,3.5,1.9,26.0,3.2,2.15,23.0,3.4,2.1,20.0,L,L,L,W,L,D,D,W,D,L,0,0,0,0,0,0,0,0,0,-0.65,0.15,-0.05,-0.25,-2.0
4635,H,0.0,0.0,25.0,14.0,8.0,3.0,4.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,1.66,3.2,2.62,1.62,3.1,2.55,1.7,3.05,2.6,1.67,3.1,2.62,1.65,3.2,2.7,20.0,D,W,W,D,W,L,L,L,W,L,0,0,0,0,0,0,0,1,0,0.1,-0.8,1.05,0.3,-17.0
4636,D,0.0,2.0,10.0,9.0,3.0,5.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,6.5,3.25,2.29,6.25,3.25,2.25,5.3,3.35,2.25,6.5,3.1,2.3,7.0,3.2,2.38,20.0,D,W,W,L,L,L,W,L,L,W,0,0,0,0,0,0,0,0,0,-0.35,0.05,0.15,0.05,5.0
4637,H,1.0,0.0,14.0,7.0,9.0,2.0,11.0,13.0,8.0,6.0,0.0,2.0,0.0,0.0,2.79,3.2,3.29,2.8,3.1,3.2,2.95,3.1,3.0,2.8,3.1,3.3,2.8,3.2,3.4,20.0,D,D,W,L,D,L,D,W,W,L,3,0,0,0,0,0,0,0,0,0.95,-1.15,1.25,0.25,-11.0
4638,D,1.0,0.0,19.0,5.0,6.0,2.0,8.0,10.0,6.0,4.0,2.0,1.0,0.0,0.0,1.9,4.2,7.0,1.87,4.1,7.0,1.8,3.8,5.3,1.91,3.8,7.0,1.83,4.2,7.0,20.0,D,L,W,D,W,W,L,W,W,L,2,0,0,0,0,0,0,0,0,0.85,-0.4,0.5,0.15,-10.0
4639,H,1.0,1.0,18.0,12.0,8.0,6.0,10.0,16.0,4.0,9.0,2.0,2.0,0.0,0.0,1.55,3.89,1.61,1.5,3.8,1.6,1.65,3.8,1.65,1.57,3.75,1.62,1.55,4.0,1.6,20.0,W,D,L,L,W,L,W,D,D,D,0,0,0,0,0,0,0,0,0,0.9,-0.8,0.9,0.35,-6.0
4640,H,0.0,1.0,13.0,11.0,1.0,3.0,11.0,19.0,4.0,4.0,0.0,2.0,0.0,1.0,3.0,3.6,4.5,3.0,3.5,4.33,2.9,3.7,4.4,3.0,3.5,4.33,2.9,3.7,4.75,20.0,L,D,L,L,L,W,L,W,D,W,2,0,0,0,0,1,0,0,0,0.45,0.1,-0.1,-0.45,5.0
4641,D,0.0,0.0,17.0,5.0,7.0,0.0,11.0,8.0,11.0,2.0,0.0,3.0,0.0,0.0,3.5,3.89,6.0,3.4,3.75,6.0,3.2,3.9,4.8,3.5,3.8,5.5,3.5,3.9,6.25,20.0,L,D,L,W,D,W,L,D,D,W,0,0,0,0,0,0,0,0,0,-0.15,0.1,-0.6,-0.45,3.0
4642,A,1.0,1.0,11.0,14.0,4.0,5.0,12.0,8.0,3.0,4.0,1.0,0.0,0.0,0.0,3.89,11.0,1.12,3.7,10.5,1.1,4.1,9.0,1.12,3.8,11.0,1.1,3.9,11.5,1.07,20.0,W,W,L,W,L,W,L,W,L,W,2,0,0,1,0,1,1,0,0,-0.5,1.45,-2.0,-0.6,15.0
4643,A,0.0,0.0,13.0,11.0,5.0,4.0,11.0,9.0,3.0,7.0,3.0,1.0,0.0,0.0,2.45,3.6,2.54,2.4,3.6,2.4,2.5,3.3,2.4,2.4,3.6,2.45,2.4,3.75,2.5,20.0,D,D,W,W,W,D,D,D,D,L,1,0,0,0,0,0,0,0,0,-0.65,0.35,-0.95,0.15,9.0
